SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,GradeTested,ELATotalTestedNotTested,ELATotalTested,ELAMetStandardIncludingPrevPass,ELAPercentMetStandardIncludingPrevPass,ELAMetStandardWithoutPrevPass,ELAPercentMetStandardWithoutPrevPass,ELAPercentMetStandardExcludingNoScore,ELALevel1,ELAPercentLevel1,ELALevel2,ELAPercentLevel2,ELALevelBasic,ELAPercentLevelBasic,ELALevel3,ELAPercentLevel3,ELALevel4,ELAPercentLevel4,ELANoScore,ELAPercentNoScore,ELANotMet,ELAPercentNotMet,ELAExcusedAbsence,ELAExempted,ELAWAASPORT,ELAWAASDAPE,MathTotalTestedNotTested,MathTotalTested,MathMetStandardIncludingPrevPass,MathPercentMetStandardIncludingPrevPass,MathMetStandardWithoutPrevPass,MathPercentMetStandardWithoutPrevPass,MathPercentMetStandardExcludingNoScore,MathLevel1,MathPercentLevel1,MathLevel2,MathPercentLevel2,MathLevelBasic,MathPercentLevelBasic,MathLevel3,MathPercentLevel3,MathLevel4,MathPercentLevel4,MathNoScore,MathPercentNoScore,MathNotMet,MathPercentNotMet,MathExcusedAbsence,MathExempted,MathWAASPORT,MathWAASDAPE,ELALevelIndex,MathLevelIndex
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,3,258,258,112,43.39,112,43.39,43.4,68,26.3,78,30.19,2,0.7,69,26.69,41,15.8,0,0,146,56.5,,10,3,,258,258,118,45.7,118,45.7,45.7,68,26.3,72,27.89,0,0,77,29.8,41,15.8,0,0,140,54.2,,11,3,,2.3,2.35
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,4,205,200,82,40,82,40,41,80,39,38,18.5,5,2.39,48,23.39,29,14.09,5,2.39,123,60,,10,1,,205,199,95,46.29,95,46.29,47.7,42,20.39,62,30.19,3,1.39,63,30.69,29,14.09,6,2.89,110,53.6,,9,1,,2.03,2.29
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,5,224,217,100,44.6,100,44.6,46.1,63,28.1,54,24.1,6,2.6,69,30.8,25,11.09,7,3.1,124,55.29,,14,4,,223,217,69,30.89,69,30.89,31.8,63,28.19,85,38.1,8,3.5,41,18.3,20,8.9,6,2.6,154,69,1,14,4,,2.13,1.95
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,6,237,235,102,43,102,43,43.4,50,21,83,35,6,2.5,82,34.5,14,5.9,2,0.8,135,56.89,,6,2,,237,236,91,38.29,91,38.29,38.6,60,25.3,85,35.79,4,1.6,60,25.3,27,11.3,1,0.4,146,61.6,,6,2,,2.18,2.18
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,7,213,212,92,43.1,92,43.1,43.4,60,28.1,60,28.1,0,0,72,33.79,20,9.3,1,0.4,121,56.79,,9,,,215,214,63,29.3,63,29.3,29.4,70,32.5,81,37.6,0,0,39,18.1,24,11.09,1,0.4,152,70.59,,9,,,2.23,2.06
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,8,227,219,82,36.1,82,36.1,37.4,63,27.69,74,32.5,0,0,60,26.39,22,9.59,8,3.5,145,63.79,,7,,,227,218,58,25.5,58,25.5,26.6,92,40.5,68,29.89,0,0,29,12.69,29,12.69,9,3.89,169,74.4,,7,,,2.1,1.89
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,11,198,77,38,19.1,38,19.1,49.4,17,8.5,22,11.09,0,0,23,11.59,15,7.5,121,61.1,160,80.79,1,38,1,,200,,,,,,,,,,,,,,,,,,,,,,,,,0.95,
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,3,44,44,27,61.29,27,61.29,61.4,4,9,13,29.5,0,0,9,20.39,18,40.89,0,0,17,38.6,,1,,,44,44,33,75,33,75,75,4,9,7,15.9,0,0,21,47.7,12,27.19,0,0,11,25,,1,,,2.93,2.93
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,4,34,32,19,55.79,19,55.79,59.4,7,20.5,6,17.6,0,0,7,20.5,12,35.2,2,5.79,15,44.1,,1,,,34,33,24,70.5,24,70.5,72.7,0,0,9,26.39,0,0,19,55.79,5,14.69,1,2.89,10,29.39,,1,,,2.58,2.79
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,5,40,40,22,55,22,55,55,13,32.5,5,12.5,0,0,14,35,8,20,0,0,18,45,,2,,,40,40,17,42.5,17,42.5,42.5,8,20,15,37.5,0,0,8,20,9,22.5,0,0,23,57.39,,2,,,2.43,2.45
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,6,48,48,28,58.29,28,58.29,58.3,8,16.6,12,25,0,0,24,50,4,8.3,0,0,20,41.6,,,,,48,48,21,43.7,21,43.7,43.8,11,22.89,16,33.29,0,0,12,25,9,18.69,0,0,27,56.2,,,,,2.5,2.39
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,7,45,44,26,57.7,26,57.7,59.1,8,17.69,10,22.19,0,0,21,46.6,5,11.09,1,2.2,19,42.2,,1,2,,45,44,20,44.39,20,44.39,45.5,7,15.5,17,37.7,0,0,12,26.6,8,17.69,1,2.2,25,55.5,,1,2,,2.46,2.41
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,8,59,59,25,42.29,25,42.29,42.4,12,20.3,22,37.2,0,0,22,37.2,3,5,0,0,34,57.6,,1,,,59,58,16,27.1,16,27.1,27.6,19,32.2,23,38.89,0,0,13,22,3,5,1,1.6,43,72.79,,1,,,2.26,1.96
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,11,57,52,18,31.5,18,31.5,34.6,23,40.29,11,19.19,0,0,13,22.8,5,8.69,5,8.69,39,68.4,,4,,,57,51,10,17.5,10,17.5,19.6,24,42.1,17,29.8,0,0,7,12.19,3,5.2,6,10.5,47,82.4,,4,,,1.82,1.59
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,3,7,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,4,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,5,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,6,29,29,15,51.7,15,51.7,51.7,8,27.5,6,20.6,0,0,8,27.5,7,24.1,0,0,14,48.2,,,,,29,29,11,37.89,11,37.89,37.9,11,37.89,7,24.1,0,0,7,24.1,4,13.69,0,0,18,62,,,,,2.48,2.13
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,7,19,19,9,47.29,9,47.29,47.4,4,21,6,31.5,0,0,7,36.79,2,10.5,0,0,10,52.6,,,,,19,19,11,57.79,11,57.79,57.9,5,26.3,3,15.69,0,0,5,26.3,6,31.5,0,0,8,42.1,,,,,2.36,2.63
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,8,29,29,21,72.4,21,72.4,72.4,4,13.69,4,13.69,0,0,11,37.89,10,34.39,0,0,8,27.5,,,1,,29,29,18,62,18,62,62.1,3,10.3,8,27.5,0,0,5,17.19,13,44.79,0,0,11,37.89,,,1,,2.92,2.96
2014-15,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,3,197,196,143,72.5,143,72.5,73,23,11.59,30,15.19,0,0,58,29.39,85,43.1,1,0.5,54,27.39,,3,3,,196,195,137,69.79,137,69.79,70.3,20,10.19,38,19.3,0,0,77,39.2,60,30.6,1,0.5,59,30.1,,4,3,,3.03,2.89
2014-15,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,4,208,207,141,67.7,141,67.7,68.1,30,14.4,36,17.3,0,0,48,23,93,44.7,1,0.4,67,32.2,,7,1,,208,207,138,66.29,138,66.29,66.7,21,10,48,23,0,0,61,29.3,77,37,1,0.4,70,33.6,,7,1,,2.97,2.92
2014-15,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,5,179,178,117,65.29,117,65.29,65.7,24,13.4,37,20.6,1,0.5,69,38.5,47,26.19,1,0.5,62,34.6,,5,1,,180,179,85,47.2,85,47.2,47.5,31,17.19,63,35,0,0,43,23.8,42,23.3,1,0.5,95,52.7,,5,1,,2.75,2.52
2014-15,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,6,216,214,152,70.29,152,70.29,71,22,10.09,40,18.5,2,0.9,83,38.39,67,31,2,0.9,64,29.6,,1,4,,216,211,128,59.2,128,59.2,60.7,29,13.4,54,25,0,0,68,31.39,60,27.69,5,2.29,88,40.7,,1,4,,2.86,2.68
2014-15,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,7,223,219,150,67.2,150,67.2,68.5,15,6.7,54,24.19,0,0,99,44.29,51,22.8,4,1.7,73,32.7,,9,,,221,219,133,60.1,133,60.1,60.7,28,12.59,58,26.19,0,0,54,24.39,79,35.7,2,0.9,88,39.79,,9,3,,2.79,2.81
2014-15,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,8,205,202,137,66.79,137,66.79,67.8,18,8.69,47,22.89,0,0,85,41.39,52,25.3,3,1.39,68,33.1,,4,2,,206,203,122,59.2,122,59.2,60.1,39,18.89,42,20.3,0,0,34,16.5,88,42.7,3,1.39,84,40.7,,3,2,,2.8,2.8
2014-15,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,11,216,163,118,54.6,118,54.6,72.4,18,8.3,27,12.5,0,0,49,22.6,69,31.89,53,24.5,98,45.29,,33,,,216,144,60,27.69,60,27.69,41.7,55,25.39,29,13.4,0,0,38,17.5,22,10.09,72,33.29,156,72.2,,33,,,2.29,1.45
2014-15,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,3,382,367,195,51,195,51,53.1,77,20.1,95,24.8,0,0,98,25.6,97,25.3,15,3.89,187,48.89,1,8,2,,382,368,209,54.7,209,54.7,56.8,69,18,90,23.5,0,0,131,34.2,78,20.39,14,3.6,173,45.2,1,9,2,,2.48,2.49
2014-15,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,4,382,368,223,58.29,223,58.29,60.6,79,20.6,66,17.19,0,0,89,23.19,134,35,14,3.6,159,41.6,,10,10,,384,345,188,48.89,188,48.89,54.5,46,11.9,111,28.89,0,0,105,27.3,83,21.6,39,10.09,196,51,,8,10,,2.65,2.38
2014-15,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,5,422,407,265,62.7,265,62.7,65.1,57,13.5,85,20.1,0,0,153,36.2,112,26.5,15,3.5,157,37.2,1,12,6,,421,405,211,50.1,211,50.1,52.1,76,18,118,28,0,0,106,25.1,105,24.89,16,3.79,210,49.79,1,14,6,,2.68,2.49
2014-15,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,6,403,389,250,62,250,62,64.3,54,13.3,85,21,0,0,137,33.89,113,28,14,3.39,153,37.89,,9,5,,404,392,190,47,190,47,48.5,78,19.3,124,30.6,0,0,84,20.69,106,26.19,12,2.89,214,52.89,,8,5,,2.69,2.47
2014-15,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,7,422,408,310,73.4,310,73.4,76,40,9.4,58,13.69,0,0,194,45.89,116,27.39,14,3.29,112,26.5,,17,6,,423,407,213,50.29,213,50.29,52.3,81,19.1,113,26.69,0,0,116,27.39,97,22.89,16,3.7,210,49.6,1,17,5,,2.84,2.46
2014-15,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,8,432,424,306,70.79,306,70.79,72.2,41,9.4,77,17.8,0,0,199,46,107,24.69,8,1.8,126,29.1,3,9,3,,431,427,192,44.5,192,44.5,45,122,28.3,113,26.19,0,0,98,22.69,94,21.8,4,0.9,239,55.39,3,10,3,,2.82,2.36
2014-15,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,11,445,359,222,49.79,222,49.79,61.8,63,14.09,74,16.6,1,0.2,127,28.5,94,21.1,86,19.3,223,50.1,,54,4,,442,339,81,18.3,81,18.3,23.9,178,40.2,80,18,0,0,53,11.9,28,6.29,103,23.3,361,81.59,1,56,4,,2.17,1.37
2014-15,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,3,44,42,27,61.29,27,61.29,64.3,3,6.79,12,27.19,0,0,12,27.19,15,34,2,4.5,17,38.6,,2,,,44,42,30,68.09,30,68.09,71.4,1,2.2,11,25,0,0,16,36.29,14,31.8,2,4.5,14,31.8,,2,,,2.79,2.88
2014-15,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,4,50,50,25,50,25,50,50,15,30,10,20,0,0,14,28,11,22,0,0,25,50,,4,,,51,51,25,49,25,49,49,4,7.79,22,43.1,0,0,17,33.29,8,15.59,0,0,26,50.89,,3,,,2.42,2.56
2014-15,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,5,56,56,35,62.5,35,62.5,62.5,5,8.9,16,28.5,0,0,22,39.2,13,23.19,0,0,21,37.5,,1,,,56,56,28,50,28,50,50,7,12.5,21,37.5,0,0,19,33.89,9,16,0,0,28,50,,1,,,2.76,2.53
2014-15,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,6,55,55,29,52.7,29,52.7,52.7,9,16.3,17,30.89,1,1.8,23,41.79,5,9,0,0,26,47.2,,1,,,55,55,31,56.29,31,56.29,56.4,9,16.3,15,27.19,1,1.8,16,29,14,25.39,0,0,24,43.6,,1,,,2.39,2.59
2014-15,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,7,49,48,33,67.29,33,67.29,68.8,6,12.19,9,18.3,3,6.09,21,42.79,9,18.3,1,2,16,32.6,,1,,,49,48,30,61.2,30,61.2,62.5,7,14.19,11,22.39,1,2,14,28.5,15,30.6,1,2,19,38.7,,1,,,2.5,2.67
2014-15,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,8,57,57,37,64.9,37,64.9,64.9,2,3.5,18,31.5,2,3.5,25,43.79,10,17.5,0,0,20,35,,1,,,57,57,34,59.6,34,59.6,59.6,4,7,19,33.29,1,1.7,11,19.19,22,38.5,0,0,23,40.29,,1,,,2.68,2.85
2014-15,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,11,44,41,31,70.4,31,70.4,75.6,3,6.79,7,15.9,1,2.2,15,34,15,34,3,6.79,13,29.5,1,5,,,45,41,16,35.5,16,35.5,39,14,31.1,11,24.39,0,0,6,13.3,10,22.19,4,8.8,29,64.4,1,4,,,2.77,2.09
2014-15,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,3,1118,1095,723,64.59,723,64.59,66,148,13.19,224,20,0,0,284,25.39,439,39.2,23,2,395,35.29,,37,11,,1117,1105,744,66.59,744,66.59,67.3,141,12.59,220,19.6,1,0,402,35.89,341,30.5,12,1,373,33.29,,34,11,,2.86,2.81
2014-15,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,4,1117,1093,622,55.6,622,55.6,56.9,245,21.89,226,20.19,0,0,287,25.6,335,29.89,24,2.1,495,44.29,,32,15,,1117,1096,705,63.1,705,63.1,64.3,123,11,268,23.89,0,0,346,30.89,359,32.1,21,1.8,412,36.79,,31,15,,2.59,2.8
2014-15,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,5,1100,1088,696,63.2,696,63.2,64,173,15.69,219,19.89,1,0,361,32.79,334,30.3,12,1,404,36.7,1,37,14,,1100,1087,640,58.1,640,58.1,58.9,146,13.19,301,27.3,0,0,299,27.1,341,31,13,1.1,460,41.79,1,35,14,,2.75,2.73
2014-15,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,6,1038,981,482,46.39,482,46.39,49.1,256,24.6,243,23.39,2,0.1,290,27.89,190,18.3,57,5.4,556,53.5,2,51,11,,1037,989,490,47.2,490,47.2,49.5,197,18.89,302,29.1,1,0,301,29,188,18.1,48,4.59,547,52.7,1,55,9,,2.28,2.36
2014-15,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,7,1060,898,489,46.1,489,46.1,54.5,222,20.89,187,17.6,4,0.3,301,28.3,184,17.3,162,15.19,571,53.79,3,42,8,,1069,1012,519,48.5,519,48.5,51.3,202,18.8,291,27.19,2,0.1,268,25,249,23.19,57,5.29,550,51.39,2,37,8,,2.1,2.41
2014-15,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,8,1071,970,528,49.2,528,49.2,54.4,222,20.69,220,20.5,5,0.4,317,29.5,206,19.19,101,9.4,543,50.7,1,62,8,,1068,964,413,38.6,413,38.6,42.8,294,27.5,257,24,5,0.4,210,19.6,198,18.5,104,9.69,655,61.29,3,67,8,,2.27,2.08
2014-15,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,11,1128,347,190,16.8,190,16.8,54.8,68,6,89,7.79,6,0.5,117,10.3,67,5.9,781,69.2,938,83.09,,162,14,,1129,600,212,18.69,212,18.69,35.3,246,21.69,142,12.5,0,0,133,11.69,79,6.9,529,46.79,917,81.2,,164,14,,0.76,1.09
2014-15,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,3,255,246,180,70.5,180,70.5,73.2,29,11.3,37,14.5,0,0,64,25,116,45.39,9,3.5,75,29.39,,2,2,,252,237,182,72.2,182,72.2,76.8,17,6.7,38,15,0,0,78,30.89,104,41.2,15,5.9,70,27.69,1,3,2,,2.97,2.94
2014-15,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,4,282,263,223,79,223,79,84.8,9,3.1,31,10.9,0,0,56,19.8,167,59.2,19,6.7,59,20.89,,7,2,,284,266,230,80.9,230,80.9,86.5,2,0.7,34,11.9,0,0,75,26.39,155,54.5,18,6.29,54,19,,6,2,,3.21,3.22
2014-15,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,5,303,279,220,72.59,220,72.59,78.9,12,3.89,47,15.5,0,0,89,29.3,131,43.2,24,7.9,83,27.3,,8,3,,304,278,209,68.7,209,68.7,75.2,10,3.2,59,19.39,0,0,75,24.6,134,44,26,8.5,95,31.19,,8,3,,2.96,2.92
2014-15,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,6,291,257,208,71.4,208,71.4,80.9,8,2.7,41,14,0,0,92,31.6,116,39.79,34,11.59,83,28.5,,8,3,,290,257,190,65.5,190,65.5,73.9,16,5.5,51,17.5,0,0,79,27.19,111,38.2,33,11.3,100,34.39,,8,3,,2.85,2.75
2014-15,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,7,312,283,228,73,228,73,80.6,19,6,36,11.5,0,0,121,38.7,107,34.2,29,9.19,84,26.89,,7,2,,313,280,213,68,213,68,76.1,15,4.7,52,16.6,0,0,79,25.19,134,42.79,33,10.5,100,31.89,,6,2,,2.82,2.85
2014-15,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,8,269,225,172,63.89,172,63.89,76.4,14,5.2,39,14.4,0,0,97,36,75,27.8,44,16.3,97,36,,3,,,269,224,163,60.5,163,60.5,72.8,28,10.4,33,12.19,0,0,48,17.8,115,42.7,45,16.69,106,39.39,,3,,,2.53,2.59
2014-15,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,11,339,,,,,,,,,,,,,,,,,,,,,,,,,339,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,3,949,934,498,52.39,498,52.39,53.3,200,21,236,24.8,10,1,243,25.6,245,25.8,15,1.5,451,47.5,,28,6,,954,939,536,56.1,536,56.1,57.1,180,18.8,223,23.3,6,0.6,329,34.39,201,21,15,1.5,418,43.79,,27,6,,2.51,2.53
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,4,940,931,513,54.5,513,54.5,55.1,233,24.69,185,19.6,3,0.3,244,25.89,266,28.19,9,0.9,427,45.39,,22,6,,939,928,484,51.5,484,51.5,52.2,134,14.19,310,33,9,0.9,274,29.1,201,21.39,11,1.1,455,48.39,,21,6,,2.54,2.53
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,5,978,959,542,55.39,542,55.39,56.5,216,22,201,20.5,7,0.7,332,33.89,203,20.69,19,1.89,436,44.5,1,33,13,,977,957,425,43.5,425,43.5,44.4,239,24.39,293,29.89,5,0.5,224,22.89,196,20,20,2,552,56.39,,35,13,,2.47,2.33
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,6,1002,986,539,53.7,539,53.7,54.7,160,15.9,287,28.6,13,1.19,381,38,145,14.4,16,1.5,463,46.2,,27,14,,998,979,444,44.39,444,44.39,45.4,222,22.19,313,31.3,8,0.8,255,25.5,181,18.1,19,1.89,554,55.5,1,30,14,,2.45,2.34
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,7,1020,1000,605,59.29,605,59.29,60.5,166,16.19,229,22.39,12,1.1,424,41.5,169,16.5,20,1.89,415,40.6,1,27,10,,1020,1002,458,44.89,458,44.89,45.7,228,22.3,316,30.89,4,0.3,270,26.39,184,18,18,1.7,562,55,1,28,10,,2.51,2.35
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,8,1071,1052,648,60.5,648,60.5,61.6,165,15.4,239,22.3,7,0.6,464,43.29,177,16.5,19,1.7,423,39.39,1,42,9,,1070,1054,531,49.6,531,49.6,50.4,275,25.69,248,23.1,1,0,258,24.1,272,25.39,16,1.39,539,50.29,2,45,9,,2.56,2.46
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,11,1116,434,237,21.19,237,21.19,54.6,79,7,118,10.5,2,0.1,143,12.8,92,8.19,682,61.1,879,78.7,2,171,11,,1115,277,85,7.59,85,7.59,30.7,128,11.4,64,5.7,2,0.1,52,4.59,31,2.7,838,75.09,1030,92.29,3,174,10,,0.99,0.47
2014-15,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,3,1444,1435,1052,72.79,1052,72.79,73.3,154,10.59,229,15.8,8,0.5,340,23.5,704,48.7,9,0.6,392,27.1,,100,11,,1453,1443,1146,78.79,1146,78.79,79.4,109,7.5,188,12.9,9,0.6,408,28,729,50.1,10,0.6,307,21.1,1,86,10,,3.07,3.18
2014-15,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,4,1408,1398,1089,77.29,1089,77.29,77.9,141,10,168,11.9,15,1,318,22.5,756,53.6,10,0.7,319,22.6,,76,10,,1418,1407,1135,80,1135,80,80.7,72,5,200,14.09,10,0.7,393,27.69,732,51.6,11,0.7,283,19.89,,68,10,,3.16,3.23
2014-15,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,5,1437,1425,1141,79.4,1141,79.4,80.1,114,7.9,170,11.8,9,0.6,444,30.8,688,47.79,12,0.8,296,20.5,2,81,9,,1446,1434,1063,73.5,1063,73.5,74.1,123,8.5,248,17.1,2,0.1,243,16.8,818,56.5,12,0.8,383,26.39,2,70,9,,3.15,3.19
2014-15,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,6,1475,1455,1117,75.7,1117,75.7,76.8,116,7.79,222,15,14,0.9,579,39.2,524,35.5,20,1.3,358,24.19,,61,12,,1480,1453,1017,68.7,1017,68.7,70,167,11.19,269,18.1,3,0.2,333,22.5,681,46,27,1.8,463,31.19,,56,11,,2.97,2.99
2014-15,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,7,1467,1458,1184,80.7,1184,80.7,81.2,109,7.4,165,11.19,11,0.7,586,39.89,587,40,9,0.6,283,19.19,1,66,16,,1483,1467,1135,76.5,1135,76.5,77.4,101,6.79,231,15.5,6,0.4,384,25.8,745,50.2,16,1,348,23.39,1,53,13,,3.09,3.16
2014-15,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,8,1455,1435,1166,80.09,1166,80.09,81.3,87,5.9,182,12.5,17,1.1,576,39.5,573,39.29,20,1.3,289,19.8,,65,9,,1461,1438,1081,73.9,1081,73.9,75.2,159,10.8,198,13.5,5,0.3,280,19.1,796,54.39,23,1.5,380,26,2,56,9,,3.07,3.13
2014-15,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,11,1526,275,173,11.3,173,11.3,62.9,59,3.79,43,2.79,2,0.1,64,4.09,107,7,1251,81.9,1353,88.59,,114,9,,1527,244,177,11.5,177,11.5,72.5,30,1.89,37,2.39,0,0,68,4.4,109,7.09,1283,84,1350,88.4,,116,9,,0.5,0.48
2014-15,Northwest Educational Service District 189,37,Whatcom,37501,Bellingham School District,3,813,810,463,56.89,463,56.89,57.2,159,19.5,188,23.1,0,0,213,26.1,250,30.69,3,0.3,350,43,,23,6,,812,805,501,61.6,501,61.6,62.2,155,19,149,18.3,0,0,243,29.89,258,31.69,7,0.8,311,38.29,,26,6,,2.67,2.72
2014-15,Northwest Educational Service District 189,37,Whatcom,37501,Bellingham School District,4,802,798,504,62.79,504,62.79,63.2,151,18.8,143,17.8,0,0,195,24.3,309,38.5,4,0.4,298,37.1,,31,14,,804,796,515,64,515,64,64.7,103,12.8,178,22.1,0,0,259,32.2,256,31.8,8,0.9,289,35.89,,34,14,,2.81,2.81
2014-15,Northwest Educational Service District 189,37,Whatcom,37501,Bellingham School District,5,760,754,517,68,517,68,68.6,92,12.09,145,19,0,0,243,31.89,274,36,6,0.7,243,31.89,,27,6,,761,751,468,61.39,468,61.39,62.3,110,14.4,173,22.69,0,0,183,24,285,37.39,10,1.3,293,38.5,,28,5,,2.9,2.81
2014-15,Northwest Educational Service District 189,37,Whatcom,37501,Bellingham School District,6,786,777,531,67.5,531,67.5,68.3,94,11.9,152,19.3,0,0,300,38.1,231,29.3,9,1.1,255,32.39,3,41,6,,785,775,414,52.7,414,52.7,53.4,151,19.19,210,26.69,0,0,192,24.39,222,28.19,10,1.19,371,47.2,2,43,6,,2.82,2.59
2014-15,Northwest Educational Service District 189,37,Whatcom,37501,Bellingham School District,7,763,748,539,70.59,539,70.59,72.1,86,11.19,123,16.1,0,0,300,39.29,239,31.3,15,1.89,224,29.3,,39,8,,761,747,470,61.7,470,61.7,62.9,130,17,147,19.3,0,0,183,24,287,37.7,14,1.8,291,38.2,2,41,7,,2.86,2.78
2014-15,Northwest Educational Service District 189,37,Whatcom,37501,Bellingham School District,8,804,790,559,69.5,559,69.5,70.8,78,9.69,153,19,0,0,299,37.1,260,32.29,14,1.7,245,30.39,,40,9,,802,790,485,60.39,485,60.39,61.4,144,17.89,161,20,0,0,152,18.89,333,41.5,12,1.39,317,39.5,1,44,9,,2.88,2.81
2014-15,Northwest Educational Service District 189,37,Whatcom,37501,Bellingham School District,11,846,272,135,15.9,135,15.9,49.6,77,9.09,60,7,0,0,83,9.8,52,6.09,574,67.79,711,84,2,105,5,,845,269,70,8.19,70,8.19,26,144,17,55,6.5,0,0,50,5.9,20,2.29,576,68.09,775,91.7,3,109,5,,0.77,0.57
2014-15,Educational Service District 101,01,Adams,01122,Benge School District,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,Educational Service District 101,01,Adams,01122,Benge School District,4,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,Educational Service District 101,01,Adams,01122,Benge School District,5,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,Educational Service District 101,01,Adams,01122,Benge School District,6,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
